Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Lowry\lowryky01,37:39,2,10,.200,0,4,.000,3,5,.600,0,5,5,5,1,0,2,4,7,-28
Kawhi Leonard\leonaka01,36:41,13,22,.591,2,4,.500,5,5,1.000,3,1,4,3,0,1,5,2,33,-11
Danny Green\greenda02,33:57,5,9,.556,3,6,.500,0,0,,1,5,6,1,0,0,0,2,13,-8
Pascal Siakam\siakapa01,33:51,7,15,.467,0,3,.000,6,8,.750,2,1,3,1,1,1,0,3,20,-18
Marc Gasol\gasolma01,29:04,2,6,.333,0,1,.000,3,4,.750,1,5,6,2,2,2,1,3,7,-26
Fred VanVleet\vanvlfr01,20:59,0,7,.000,0,5,.000,1,1,1.000,1,2,3,1,1,0,0,2,1,-10
Norman Powell\powelno01,16:24,2,5,.400,2,3,.667,0,0,,0,0,0,2,0,0,0,0,6,-12
Serge Ibaka\ibakase01,16:05,2,6,.333,0,0,,0,0,,0,5,5,0,1,0,1,1,4,+4
Patrick McCaw\mccawpa01,6:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Jodie Meeks\meeksjo01,4:48,2,3,.667,0,1,.000,0,0,,0,1,1,0,1,0,0,0,4,+3
Eric Moreland\moreler01,2:51,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+1
Malcolm Miller\millema01,1:27,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+3
Team Totals,240,35,83,.422,7,27,.259,18,23,.783,8,27,35,15,7,4,9,17,95,
