Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Lowry\lowryky01,38:59,3,8,.375,2,5,.400,1,2,.500,1,3,4,9,4,0,6,2,9,+26
Pascal Siakam\siakapa01,35:53,7,14,.500,2,6,.333,0,0,,0,6,6,2,0,1,2,0,16,+11
Kawhi Leonard\leonaka01,34:43,12,20,.600,2,5,.400,8,9,.889,3,3,6,2,2,2,1,3,34,+20
Danny Green\greenda02,26:01,3,8,.375,2,6,.333,0,0,,0,2,2,2,2,0,0,4,8,+10
Marc Gasol\gasolma01,25:16,1,3,.333,0,0,,0,0,,0,6,6,2,2,2,0,2,2,+11
Fred VanVleet\vanvlfr01,22:33,2,5,.400,1,2,.500,4,4,1.000,0,2,2,4,1,0,1,4,9,+9
Norman Powell\powelno01,21:11,7,9,.778,1,2,.500,1,1,1.000,0,4,4,1,0,0,0,2,16,+14
Serge Ibaka\ibakase01,19:56,5,6,.833,1,2,.500,2,2,1.000,3,5,8,1,0,1,1,1,13,+11
Jodie Meeks\meeksjo01,5:00,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,+1
Patrick McCaw\mccawpa01,2:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,0
Jeremy Lin\linje01,2:48,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,3,0,0,0
Eric Moreland\moreler01,2:48,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,0
Malcolm Miller\millema01,2:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-3
Team Totals,240,40,75,.533,11,28,.393,16,18,.889,7,38,45,23,11,6,14,20,107,
