Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kawhi Leonard\leonaka01,35:30,7,16,.438,0,4,.000,7,8,.875,2,11,13,4,2,0,0,1,21,+20
Pascal Siakam\siakapa01,34:13,7,19,.368,2,7,.286,9,10,.900,0,8,8,3,2,1,1,1,25,+35
Kyle Lowry\lowryky01,34:11,5,9,.556,2,5,.400,7,8,.875,0,6,6,5,1,1,3,4,19,+31
Marc Gasol\gasolma01,33:17,4,6,.667,3,5,.600,0,0,,0,5,5,3,2,0,0,4,11,+14
Danny Green\greenda02,27:40,5,8,.625,5,7,.714,2,2,1.000,2,3,5,0,3,0,2,2,17,+15
Serge Ibaka\ibakase01,22:00,4,7,.571,0,0,,2,3,.667,1,1,2,0,0,0,2,4,10,+27
Fred VanVleet\vanvlfr01,16:22,2,5,.400,1,4,.250,0,0,,0,0,0,1,1,0,2,0,5,+11
Norman Powell\powelno01,10:16,3,6,.500,1,4,.250,0,0,,1,1,2,3,0,0,0,2,7,+13
Jodie Meeks\meeksjo01,6:47,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,+6
Patrick McCaw\mccawpa01,6:47,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,2,+6
Eric Moreland\moreler01,6:19,1,1,1.000,0,0,,0,0,,0,1,1,2,0,0,0,0,2,+3
Jeremy Lin\linje01,5:07,1,2,.500,1,1,1.000,0,0,,0,0,0,1,1,0,0,0,3,+3
Malcolm Miller\millema01,1:31,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-4
Team Totals,240,40,82,.488,16,40,.400,29,33,.879,6,36,42,22,12,2,10,18,125,
