Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Lowry\lowryky01,38:40,4,13,.308,2,9,.222,5,8,.625,1,3,4,4,0,0,2,4,15,-19
Kawhi Leonard\leonaka01,37:48,10,18,.556,1,4,.250,10,10,1.000,1,7,8,2,0,1,2,4,31,-19
Pascal Siakam\siakapa01,25:50,4,9,.444,0,2,.000,0,0,,1,0,1,2,1,0,0,6,8,-21
Danny Green\greenda02,21:47,2,6,.333,2,4,.500,2,2,1.000,1,3,4,0,1,1,0,0,8,-11
Marc Gasol\gasolma01,19:21,1,9,.111,0,2,.000,0,0,,0,5,5,1,0,1,2,2,2,-14
Serge Ibaka\ibakase01,27:15,4,9,.444,0,2,.000,0,2,.000,2,8,10,3,0,0,4,4,8,-4
Norman Powell\powelno01,24:36,6,9,.667,2,4,.500,0,0,,0,4,4,2,0,0,1,4,14,-5
Fred VanVleet\vanvlfr01,23:53,2,5,.400,1,1,1.000,0,0,,0,0,0,2,0,2,1,3,5,-12
Jodie Meeks\meeksjo01,8:17,2,5,.400,1,2,.500,0,0,,0,0,0,0,1,0,1,1,5,-1
Malcolm Miller\millema01,3:51,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,1,2,-2
Jeremy Lin\linje01,3:23,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,0,0,0,-1
Eric Moreland\moreler01,3:23,0,0,,0,0,,0,0,,0,3,3,1,0,0,0,1,0,-1
Chris Boucher\bouchch01,1:56,2,3,.667,1,2,.500,0,1,.000,0,0,0,0,0,1,0,0,5,0
Team Totals,240,37,87,.425,10,32,.313,19,25,.760,6,34,40,19,3,6,13,30,103,
