Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kawhi Leonard\leonaka01,34:06,6,13,.462,1,3,.333,6,8,.750,2,5,7,1,4,2,2,2,19,+16
Kyle Lowry\lowryky01,34:04,6,11,.545,3,7,.429,10,10,1.000,2,3,5,6,0,0,1,3,25,+5
Marc Gasol\gasolma01,30:32,6,11,.545,3,6,.500,2,2,1.000,0,5,5,7,1,2,0,3,17,+2
Danny Green\greenda02,24:52,2,5,.400,0,2,.000,0,0,,1,0,1,1,1,1,1,4,4,+10
Pascal Siakam\siakapa01,23:10,3,6,.500,0,2,.000,1,1,1.000,1,3,4,6,0,0,2,5,7,+2
Norman Powell\powelno01,32:26,6,18,.333,4,13,.308,2,3,.667,0,5,5,3,1,0,3,3,18,+29
Fred VanVleet\vanvlfr01,25:08,5,6,.833,3,3,1.000,0,0,,0,1,1,6,1,0,1,0,13,+25
Serge Ibaka\ibakase01,24:05,7,12,.583,0,3,.000,3,3,1.000,4,9,13,2,1,0,1,3,17,+24
Jodie Meeks\meeksjo01,3:05,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-3
Chris Boucher\bouchch01,2:08,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,0,0,-5
Jeremy Lin\linje01,2:08,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
Eric Moreland\moreler01,2:08,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-5
Malcolm Miller\millema01,2:08,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
Team Totals,240,41,87,.471,14,41,.341,24,27,.889,10,34,44,32,9,5,11,23,120,
