Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kawhi Leonard\leonaka01,38:12,16,23,.696,3,7,.429,10,11,.909,0,11,11,2,2,1,2,1,45,+26
Kyle Lowry\lowryky01,37:35,4,10,.400,0,4,.000,1,1,1.000,1,2,3,8,1,1,1,5,9,+25
Pascal Siakam\siakapa01,34:33,12,15,.800,3,4,.750,2,4,.500,0,7,7,1,0,0,3,3,29,+15
Danny Green\greenda02,31:45,2,5,.400,1,4,.250,2,2,1.000,0,3,3,1,0,0,1,3,7,+18
Marc Gasol\gasolma01,25:49,3,8,.375,2,4,.500,0,0,,0,2,2,4,0,1,0,3,8,+29
Fred VanVleet\vanvlfr01,23:41,1,2,.500,0,1,.000,1,4,.250,0,2,2,3,0,1,0,2,3,+3
Serge Ibaka\ibakase01,19:23,3,9,.333,0,2,.000,1,2,.500,1,5,6,0,0,2,0,5,7,-9
Norman Powell\powelno01,12:17,0,2,.000,0,0,,0,0,,0,2,2,2,0,0,1,0,0,-7
Jodie Meeks\meeksjo01,4:27,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-9
Patrick McCaw\mccawpa01,3:14,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-6
Jeremy Lin\linje01,3:14,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-6
Malcolm Miller\millema01,3:02,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-7
Eric Moreland\moreler01,2:48,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-7
Team Totals,240,41,79,.519,9,27,.333,17,24,.708,2,38,40,21,3,6,10,24,108,
